skola	nazov	mesto	ulica	aj_n	aj_z
666005	Súkromná hotelová akadémia	Banská Štiavnica	Drieňová 12	6	2.3
666010	Hotelová akadémia	Brezno	Malinovského 1	70	2.4
666101	Obchodná akadémia	Banská Bystrica	Tajovského 25	75	2.8
666109	Obchodná akadémia	Brezno	Malinovského 1	16	2.4
666112	Spojená škola - Obchodná akadémia	Detva	Štúrova 848	28	2.5
666118	Obchodná akadémia	Lučenec	Lúčna 4	50	2.6
666130	Obchodná akadémia - Kereskedelmi Akadémia	Rimavská Sobota	K. Mikszátha 1	42	2.2
666133	Spojená škola - Obchodná akadémia	Modrý Kameň	Jarmočná 1	20	2.8
666144	Súkromná obchodná akadémia	Žiar nad Hronom	SNP 16	4	3.3
666161	Súkromná obchodná akadémia	Banská Bystrica	Dolná 54	1	—
666301	Spojená škola - Stredná odborná škola podnikania	Banská Bystrica	Školská 7	38	3.1
666340	Súkromná stredná odborná škola podnikania	Zvolen	Námestie Mládeže 587/17	21	3.8
666410	Stredná odborná škola obchodu a služieb	Krupina	M. R. Štefánika 8	22	2.7
666415	Stredná odborná škola obchodu a služieb	Rimavská Sobota	Športová 1	31	3.2
666420	Spojená škola - Stredná odborná škola obchodu a služieb	Modrý Kameň	Jarmočná 1	17	3.1
666425	Stredná odborná škola obchodu a služieb	Nová Baňa	Osvety 17	18	2.4
666435	Stredná odborná škola obchodu a služieb	Žiar nad Hronom	Jilemnického 1282	28	3.2
666501	Stredná odborná škola hotelových služieb a obchodu	Banská Bystrica	Školská 5	73	3.4
666530	Stredná odborná škola hotelových služieb a obchodu	Zvolen	Jabloňová 1351	84	2.6
667211	Súkromná stredná odborná škola pedagogická EBG	Brezno	Školská 5	11	2.5
667220	Pedagogická a sociálna akadémia - Pedagógiai és Szociális Akadémia	Lučenec	Komenského 12	73	2.9
